month,format,device_type,bid_type,network_id,spend,impressions,clicks,measurable_imps,viewable_imps,engagements,video_start,video_complete,audio_start,audio_complete,CPC,CPM,CTR,CPE,CPCV,Viewability rate,Engagement rate
Nov-2022,display,desktop,cpc,20,73.55654415000004,58641,49,15468,6389,4,0,0,0,0,1.5011539622448986,,0.08355928445967838,,,41.30462891130075,
Nov-2022,display,desktop,cpc,75,227.3969366999999,41074,168,7426,2679,13,0,0,0,0,1.3535531946428567,,0.40901787018551883,,,36.075949367088604,
Nov-2022,display,desktop,cpc,85,332.98852140000025,303787,225,49079,26364,46,0,0,0,0,1.479948984000001,,0.07406505215825561,,,53.71747590619206,
Nov-2022,display,desktop,cpc,86,55.4064423,85832,45,6806,2568,1,0,0,0,0,1.2312542733333334,,0.05242799888153602,,,37.7314134587129,
Nov-2022,display,desktop,cpc,87,304.83321149999995,239124,223,30268,13555,59,0,0,0,0,1.366965073991031,,0.09325705491711414,,,44.78326945949518,
Nov-2022,display,desktop,cpc,94,87.58152570000001,135752,68,7367,3045,4,0,0,0,0,1.2879636132352943,,0.05009134303730332,,,41.33297135876205,
Nov-2022,display,desktop,cpc,95,214.4209769999999,225100,167,22604,6002,17,0,0,0,0,1.283957946107784,,0.07418924922256775,,,26.55282250929039,
Nov-2022,display,desktop,cpc,106,66.32214555000002,92302,43,0,0,5,0,0,0,0,1.5423754779069772,,0.04658620614937921,,,,
Nov-2022,display,desktop,cpc,109,83.64847290000004,137168,50,0,0,5,0,0,0,0,1.672969458000001,,0.036451650530736034,,,,
Nov-2022,display,desktop,cpc,116,9.119031750000001,15469,7,2251,1016,1,0,0,0,0,1.3027188214285716,,0.04525179391040145,,,45.13549533540648,
Nov-2022,display,desktop,cpc,119,130.70154705,147354,101,23771,8560,19,0,0,0,0,1.2940747232673266,,0.06854242165126159,,,36.01026460813597,
Nov-2022,display,desktop,cpc,120,11.368897799999996,1601,8,422,318,0,0,0,0,0,1.4211122249999995,,0.49968769519050593,,,75.35545023696683,
Nov-2022,display,desktop,cpc,125,5.0053077,5422,4,557,376,0,0,0,0,0,1.251326925,,0.07377351530800443,,,67.50448833034112,
Nov-2022,display,desktop,cpc,127,10.489549799999999,3949,7,356,30,2,0,0,0,0,1.498507114285714,,0.17726006583945303,,,8.426966292134832,
Nov-2022,display,desktop,cpc,128,140.19144585,119063,104,14171,6220,22,0,0,0,0,1.3479946716346154,,0.08734871454608065,,,43.8924564250935,
